ospcomp,uspcomp,nchar
Pt  40Pw  10Aw  10Ow  10Pl  10Mr  10Ew  10, ,42
Sw  30Bf  20By  10Sb  10He  10Cw  10Mr  10, ,42
Pw  30Bf  20Sb  10Mr  10Pr  10Pl  10Or  10,NA,42
PO  30Cw  20Mr  10Ab  10Mh  10Sw  10Pw  10,,42
Or  30Mr  20Pw  10Mh  10PO  10He  10By  10,,42
Mr  30Pt  20Or  10Bw  10Aw  10Mh  10Bf  10, ,42
Bw  20Cw  20By  20Mr  10Mh  10Sw  10Bf  10, ,42
Mr  30Bf  20Bw  10PO  10Mh  10Sw  10Pw  10,,42
Mh  40Be  10By  10Bf  10Sw  10Mr  10Bw  10,Mh 100,42
Mh  30Bf  20Pt  10By  10Pw  10Sw  10Mr  10, ,42
Mh  30Mr  20Aw  10Or  10Be  10PO  10Bf  10,,42
Sb  30Pw  20Pr  10Bw  10By  10Sw  10Bf  10, ,42
Bw  20Sb  20Mh  20Pw  10Pr  10Mr  10Sw  10, ,42
Sb  40Pt  20Bw  10Sw  10Pr  10Bf  10,Bf  50Cw  30Sb  10Bw  10,36
Sb  30La  20Bf  20Bw  10Cw  10Pj  10, ,36
Mh  30Pt  20Bd  20Aw  10Cw  10By  10, ,36
Pw  40He  20Mr  10Bw  10Mh  10Pj  10, ,36
Bw  40Bf  20Sw  10Pj  10Pt  10Ab  10, ,36
Bw  40Mr  20Pw  10Cw  10Pt  10Bf  10, ,36
Sw  30Pj  20Sb  20Bw  10Pt  10Bf  10, ,36
Bw  40Mr  20Sb  10Pt  10Pw  10Or  10, ,36
Sb  40La  20Pt  10Bf  10Cw  10Ab  10, ,36
Sb  40Pt  20Pw  10Pj  10Bw  10Sw  10,Sb 100,36
He  40Bf  20Sw  10By  10Mh  10Cw  10, ,36
Bf  30Bw  20Sb  20Pt  10Sw  10Mr  10, ,36
Mh  20Mr  20Bw  20PO  20Sw  10Bd  10,,36
Pw  30Mr  20Bw  20Pt  10Bd  10Sw  10, ,36
La  30Sb  20Cw  20Sw  10Bf  10Bw  10, ,36
Mh  40Bw  20By  10Mr  10Be  10He  10, ,36
Sw  30Sb  20Pt  20Pj  10Bf  10Bw  10, ,36
Pt  30Mr  20Pw  20Pj  10Bw  10Sb  10, ,36
He  30By  30Mr  10Mh  10Bf  10Pw  10,,36
Bw  40Pt  20Pw  10Sw  10Pj  10Sb  10,NA,36
Mh  30By  20Pw  20Mr  10Cw  10Sw  10, ,36
Mr  30Bf  20Bw  20Pw  10Mh  10Pt  10, ,36
Pj  40Pw  20Or  10Cw  10Pt  10Sb  10, ,36
Mh  40Ms  20Bf  10Iw  10Or  10Bw  10, ,36
Bw  30Pt  20Sb  20Cw  10Bf  10Mr  10, ,36
Pw  30Pt  20Pr  20Pj  10Sb  10Bw  10,Bf  80Mr  10Bw  10,36
Pt  30Sw  20Sb  20Or  10Mr  10Bw  10, ,36
Pj  20Sb  20Pt  20Bw  20Cw  10La  10, ,36
Mr  50Bw  10By  10Sw  10Bf  10Pt  10,Mr 100,36
Bf  20Mh  20Sw  20Mr  20By  10Pt  10, ,36
Pt  30Bw  30Pj  10Sb  10Ab  10Cw  10, ,36
Pt  40Sb  20Bw  10Sw  10Cw  10Bf  10, ,36
Bf  20Sb  20Pt  20Bw  20Pb  10Sw  10, ,36
Sw  30Sb  20Bf  20By  10Mh  10Cw  10, ,36
Mr  30Bf  20Pw  20Pt  10Or  10Mh  10,NA,36
Pt  30Mh  20Bf  20Mr  10Sb  10Bw  10, ,36
PO  30Mr  20Bw  20Bf  10Sw  10Mh  10,,36
Cw  50Sb  10Ab  10PO  10La  10Sw  10,,36
Pw  30Pj  20Or  20Bw  10Pr  10Sb  10, ,36
Mh  40By  20Mr  10Bw  10Pw  10Bf  10, ,36
Pw  30He  20Or  20Mh  10By  10Mr  10, ,36
Bw  30Bf  20Pt  20Sb  10Sw  10Cw  10, ,36
He  40By  20Mh  10Pt  10Bf  10Bw  10, ,36
Mr  30Mh  20Bw  20Sw  10By  10PO  10,,36
Pt  40Bf  20Pw  10Ab  10Bw  10Sb  10, ,36
La  30Pw  20Bf  20Sb  10Pt  10Mr  10, ,36
