I_CODE,CAS_CODE
BF,Abie bals
MM,Acer negu
WB,Betu papy
*WB,Betu spp.
*BH,Celt occi
HB,Celt occi
GA,Frax penn
AS,Frax spp.
OH,Hard unkn
EL,Lari deci
TL,Lari lari
LA,Lari lari
HH,Ostr virg
WS,Pice glau
BS,Pice mari
JP,Pinu bank
LP,Pinu cont
RP,Pinu resi
WP,Pinu stro
SP,Pinu sylv
BA,Popu balb
*BA,Popu bals
CO,Popu delt
TA,Popu trem
*OB,Quer macr
BO,Quer macr
W,Sali spp.
WI,Sali spp.
CE,Thuj occi
EC,Thuj occi
B,Tili amer
BD,Tili amer
E,Ulmu amer
